UDAF,Ville,Téléphone,Nom,Prénom,Poste communication
UDAF 47,Agen,05 53 69 37 57,Le Berre,Maëlisse,Chargée Marketing et Communication
UDAF 48,Mende,04 66 65 10 85,,,
UDAF 49,Angers,02 41 36 51 00,,,
UDAF 50,Saint-Lô,02 33 57 92 25,,,
UDAF 51,Châlons-en-Champagne,03 26 69 47 50,,,
UDAF 52,Chaumont,03 25 35 36 00,,,
UDAF 53,Laval,02 43 49 52 52,,,
UDAF 54,Nancy,03 83 30 59 13,Evrard,Alyssia,Chargée de communication
UDAF 55,Bar-le-Duc,03 29 79 42 23,,,
UDAF 56,Vannes,02 97 54 13 21,,,
UDAF 57,Metz,03 87 30 55 89,,,
UDAF 58,Nevers,03 86 93 01 93,,,
UDAF 59,Lille,03 20 54 97 61,,,
UDAF 60,Beauvais,03 44 06 83 83,,,
UDAF 61,Alençon,02 33 80 32 20,,,
UDAF 62,Arras,03 21 71 83 84,,,
UDAF 63,Clermont-Ferrand,04 73 31 92 63,,,
UDAF 64,Pau,05 59 81 57 90,,,
UDAF 65,Tarbes,05 62 44 02 36,,,
UDAF 66,Perpignan,04 68 52 93 93,,,
UDAF 67,Strasbourg,03 88 52 89 70,,,
UDAF 68,Colmar,03 89 30 07 50,,,
UDAF 69,Lyon,04 72 76 12 00,,,
UDAF 70,Vesoul,03 84 97 18 19,,,
UDAF 71,Mâcon,03 85 32 88 00,,,
UDAF 72,Le Mans,02 43 61 48 11,,,
UDAF 73,Chambéry,04 79 70 88 44,,,
UDAF 74,Annecy / Meythet,04 50 24 36 37,,,
UDAF 75,Paris,01 48 74 80 74,Baudin,Camille,Chargée de mission vie associative communication et développement
UDAF 76,Mont-Saint-Aignan,02 76 51 70 70,,,
UDAF 77,Melun,01 64 10 22 22,,,
UDAF 78,Versailles,01 39 20 08 08,,,
UDAF 79,Niort,05 49 04 76 76,Hizette,Laurence,Resp. développement Institution-Communication-Vie associative
UDAF 80,Amiens,03 22 82 09 00,Paty,Bérengère,Chargée de communication et projets lecture
UDAF 81,Albi,05 63 48 73 73,Mélin,Maryse,Chargée de mission développement associatif – communication
UDAF 82,Montauban,05 63 03 85 00,,,
UDAF 83,La Garde (Toulon),04 94 14 85 00,,,
UDAF 84,Avignon,04 90 85 14 60,,,
UDAF 85,La Roche-sur-Yon,02 51 44 37 10,Robet,Constance,Responsable communications
UDAF 86,Poitiers,05 49 60 69 69,,,
UDAF 87,Limoges,05 55 10 53 60,,,
UDAF 88,Épinal,03 29 82 36 03,,,
UDAF 89,Auxerre,03 86 72 53 00,,,
UDAF 90,Belfort,03 84 57 45 81,,,
UDAF 91,Évry-Courcouronnes,01 60 91 30 30,,,
UDAF 92,Saint-Cloud,01 41 12 83 60,,,
UDAF 93,Bobigny,01 49 35 33 00,,,
UDAF 94,Boissy-Saint-Léger,01 45 10 32 32,,,
UDAF 95,Cergy-Pontoise,01 30 75 00 25,,,
UDAF 971,Basse-Terre (Guadeloupe),05 90 81 62 62,,,
UDAF 972,Fort-de-France (Martinique),05 96 71 67 86,,,
UDAF 973,Cayenne (Guyane),05 94 35 28 56,,,
UDAF 974,Saint-Denis (La Réunion),02 62 30 23 76,,,
UDAF 976,Mamoudzou (Mayotte),02 69 61 99 14,,,
